"id","date","dive_number","boat","dive_guide","dive_site","max_depth","water_temperature","sightings"
433,"2024-01-31",2,"Shark Bait","Richard","Ghost Wreck",34,27,"[{""species"" : ""Southern Stingray"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 20}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 4}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}]"
434,"2024-01-31",2,"Fin & Tonic","Aaron","Tent Reef",23,27,"[{""species"" : ""Lettuce Sea Slug"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 2}, {""species"" : ""Southern Stingray"", ""count"" : 2}]"
435,"2024-01-31",1,"Shark Bait","Chad","Ghost Wreck",34,26,"[{""species"" : ""Lionfish Alive"", ""count"" : 20}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 10}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}]"
436,"2024-02-01",1,"Fin & Tonic","Otto","Twilight Zone",34,27,"[{""species"" : ""Nurse Shark"", ""count"" : 1}]"
437,"2024-02-01",3,"Fin & Tonic","Otto","Hole in the Corner",23,27,"[{""species"" : ""Green Turtle"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 4}, {""species"" : ""Southern Stingray"", ""count"" : 1}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}]"
438,"2024-02-01",1,"Shark Bait","Otto","Core Gut",27,27,"[{""species"" : ""Southern Stingray"", ""count"" : 1}, {""species"" : ""Yellowfin Grouper"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 4}]"
440,"2024-02-05",1,"Fin & Tonic","Robins","Big Rock Market",20,27,"[{""species"" : null, ""count"" : null}]"
439,"2024-02-05",1,"Shark Bait","Otto","Green Island",23,27,"[{""species"" : null, ""count"" : null}]"
441,"2024-02-05",2,"Fin & Tonic","Robins","Big Rock Market",20,27,"[{""species"" : null, ""count"" : null}]"
443,"2024-02-08",2,"Shark Bait","Otto","Twilight Zone",34,27,"[{""species"" : ""Hawksbill Turtle"", ""count"" : 1}]"
442,"2024-02-08",2,"Shark Bait","Aaron","Hole in the Corner",22,27,"[{""species"" : ""Lionfish Alive"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 2}]"
445,"2024-02-10",3,"Fin & Tonic","Otto","Core Gut",24,27,"[{""species"" : ""Nassau Grouper"", ""count"" : 1}, {""species"" : ""Lionfish Alive"", ""count"" : 3}]"
444,"2024-02-10",1,"Fin & Tonic","Otto","Twilight Zone",34,27,"[{""species"" : ""Lionfish Alive"", ""count"" : 4}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}, {""species"" : ""Nassau Grouper"", ""count"" : 1}, {""species"" : ""Tiger Grouper"", ""count"" : 1}]"
446,"2024-02-11",1,"Fin & Tonic","Richard","Third Encounter",34,27,"[{""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Lionfish Dead"", ""count"" : 1}]"
447,"2024-02-12",1,"Shark Bait","Vicky","Tent Reef Wall",22,26,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 2}, {""species"" : ""Green Turtle"", ""count"" : 2}, {""species"" : ""Lionfish Alive"", ""count"" : 2}]"
448,"2024-02-12",2,"Shark Bait","Chad","Greer Gut",23,26,"[{""species"" : ""Lionfish Dead"", ""count"" : 6}, {""species"" : ""Lionfish Alive"", ""count"" : 1}, {""species"" : ""Yellowfin Grouper"", ""count"" : 2}, {""species"" : ""Southern Stingray"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 1}]"
449,"2024-02-13",1,"Shark Bait","Josef","Customs House",29,25,"[{""species"" : ""Green Turtle"", ""count"" : 2}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 2}, {""species"" : ""Lettuce Sea Slug"", ""count"" : 2}, {""species"" : ""Blacktip Reef Shark"", ""count"" : 1}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}]"
450,"2024-02-13",1,"Fin & Tonic","Richard","Green Island",13,27,"[{""species"" : null, ""count"" : null}]"
451,"2024-02-13",2,"Fin & Tonic","Richard","Big Rock Market",12,27,"[{""species"" : null, ""count"" : null}]"
463,"2024-02-14",3,"Shark Bait","Aaron","Tent Reef",21,27,"[{""species"" : ""Yellowfin Grouper"", ""count"" : 2}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 2}, {""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 2}, {""species"" : ""Lionfish Dead"", ""count"" : 1}]"
452,"2024-02-14",1,"Shark Bait","Vicky","Tent Reef Wall",22,26,"[{""species"" : ""Lettuce Sea Slug"", ""count"" : 2}, {""species"" : ""Southern Stingray"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 3}, {""species"" : ""Longspine Sea Urchin"", ""count"" : 1}, {""species"" : ""Flamingo Tongue"", ""count"" : 5}]"
453,"2024-02-14",1,"Shark Bait","Richard","Tent Boulders",23,27,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 1}]"
460,"2024-02-14",2,"Shark Bait","Aaron","Man of War Shoals",22,27,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 2}, {""species"" : ""Green Turtle"", ""count"" : 1}, {""species"" : ""Yellowfin Grouper"", ""count"" : 3}, {""species"" : ""Southern Stingray"", ""count"" : 3}]"
454,"2024-02-15",1,"Fin & Tonic","Otto","Babylon",24,27,"[{""species"" : ""Green Turtle"", ""count"" : 1}, {""species"" : ""Southern Stingray"", ""count"" : 2}, {""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Lettuce Sea Slug"", ""count"" : 1}]"
480,"2024-02-15",3,"Fin & Tonic","Svenja","Babylon",25,27,"[{""species"" : ""Green Turtle"", ""count"" : 3}, {""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 3}]"
455,"2024-02-15",2,"Fin & Tonic","Otto","Hot Springs",23,27,"[{""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 6}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Southern Stingray"", ""count"" : 3}]"
459,"2024-02-16",3,"Fin & Tonic","Otto","Tent Reef",17,27,"[{""species"" : ""Green Turtle"", ""count"" : 1}, {""species"" : ""Yellowfin Grouper"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 1}]"
456,"2024-02-16",1,"Private Boat","Chad","Tent Drift",12,27,"[{""species"" : ""Longspine Sea Urchin"", ""count"" : 2}, {""species"" : ""Green Turtle"", ""count"" : 2}, {""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Southern Stingray"", ""count"" : 3}]"
457,"2024-02-16",3,"Private Boat","Chad","Hole in the Corner",12,26,"[{""species"" : ""Flamingo Tongue"", ""count"" : 2}, {""species"" : ""Longspine Sea Urchin"", ""count"" : 2}]"
458,"2024-02-16",1,"Fin & Tonic","Otto","Mt. Michel",34,27,"[{""species"" : ""Lionfish Dead"", ""count"" : 8}]"
461,"2024-02-16",3,"Fin & Tonic","Charles","Hole in the Corner",10,27,"[{""species"" : ""Lionfish Alive"", ""count"" : 2}]"
482,"2024-02-16",3,"Fin & Tonic","Svenja","Hole in the Corner",12,27,"[{""species"" : null, ""count"" : null}]"
465,"2024-02-17",2,"Shark Bait","Josef","Man of War Shoals",22,25,"[{""species"" : ""Green Turtle"", ""count"" : 2}]"
466,"2024-02-17",1,"Fin & Tonic","Otto","Tent Reef Wall",24,27,"[{""species"" : ""Green Turtle"", ""count"" : 4}]"
467,"2024-02-17",2,"Fin & Tonic","Charles","Tent Reef Wall",22,27,"[{""species"" : ""Hawksbill Turtle"", ""count"" : 3}, {""species"" : ""Green Turtle"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}]"
468,"2024-02-17",3,"Fin & Tonic","Charles","Big Rock Deep",24,27,"[{""species"" : ""Tiger Grouper"", ""count"" : 1}, {""species"" : ""Nassau Grouper"", ""count"" : 1}, {""species"" : ""Southern Stingray"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 1}]"
462,"2024-02-17",3,"Shark Bait","Richard","Tent Shallow",23,27,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 2}, {""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 4}, {""species"" : ""Lionfish Alive"", ""count"" : 1}, {""species"" : ""Southern Stingray"", ""count"" : 2}]"
